Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2006,Alle aldre,Kvinne,Akershus,579,2.267751322854938,255319,3403016.75,217097.28125
ADHD-midler,2006,Alle aldre,Kvinne,Aust-Agder,234,4.460201280878317,52464,1390207.875,84073.9140625
ADHD-midler,2006,Alle aldre,Kvinne,Buskerud,359,2.877801648122615,124748,2811751,135533.890625
ADHD-midler,2006,Alle aldre,Kvinne,Finnmark,87,2.431390084399978,35782,559710.5,30336.8515625
ADHD-midler,2006,Alle aldre,Kvinne,Hedmark,231,2.420343458262172,95441,1519548.5,96723.265625
ADHD-midler,2006,Alle aldre,Kvinne,Hordaland,306,1.341175851821983,228158,1801777.25,111287.875
ADHD-midler,2006,Alle aldre,Kvinne,Møre og Romsdal,302,2.469983969640462,122268,1552399.25,90519.109375
ADHD-midler,2006,Alle aldre,Kvinne,Nordland,361,3.062124656465239,117892,2178426,114381.8671875
ADHD-midler,2006,Alle aldre,Kvinne,Nord-Trøndelag,159,2.464772357345487,64509,1005976.125,69874.2578125
ADHD-midler,2006,Alle aldre,Kvinne,Oppland,158,1.711327253428070,92326,865080.5625,60573.27734375
ADHD-midler,2006,Alle aldre,Kvinne,Oslo,500,1.800828381055285,277650,2714967,188041.125
ADHD-midler,2006,Alle aldre,Kvinne,Rogaland,442,2.208829320460156,200106,2903707,168558.546875
ADHD-midler,2006,Alle aldre,Kvinne,Sogn og Fjordane,117,2.219524225063550,52714,729463.3125,40240.046875
ADHD-midler,2006,Alle aldre,Kvinne,Sør-Trøndelag,249,1.790310751930516,139082,1235924.125,84300.390625
ADHD-midler,2006,Alle aldre,Kvinne,Telemark,246,2.920227920227920,84240,1536209.625,90628.0859375
ADHD-midler,2006,Alle aldre,Kvinne,Troms,128,1.675611991098311,76390,604656.1875,41919.671875
ADHD-midler,2006,Alle aldre,Kvinne,Vest-Agder,218,2.656204308412126,82072,1289928.125,87652.984375
ADHD-midler,2006,Alle aldre,Kvinne,Vestfold,354,3.124089910248603,113313,2574797.5,155295.984375
ADHD-midler,2006,Alle aldre,Kvinne,Østfold,378,2.851495903803503,132562,2148862.75,160994.515625
ADHD-midler,2006,Alle aldre,Mann,Akershus,1343,5.374794893344539,249870,9609950,539420.375
ADHD-midler,2006,Alle aldre,Mann,Aust-Agder,524,10.086233446258084,51952,3104737.5,172300.609375
ADHD-midler,2006,Alle aldre,Mann,Buskerud,979,8.043842639760739,121708,8051564,420205.46875
ADHD-midler,2006,Alle aldre,Mann,Finnmark,259,6.996407250330911,37019,1760985.375,97659.171875
ADHD-midler,2006,Alle aldre,Mann,Hedmark,628,6.740367070945583,93170,4581916.5,289036.71875
ADHD-midler,2006,Alle aldre,Mann,Hordaland,830,3.663391682776763,226566,5827245,305163.875
ADHD-midler,2006,Alle aldre,Mann,Møre og Romsdal,814,6.620362086634026,122954,5557308.5,274034.25
