Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2012,Alle aldre,Kvinne,Akershus,1113,3.962207729331017,280904,6157111.5,458957.5625
ADHD-midler,2012,Alle aldre,Kvinne,Aust-Agder,440,7.872606906423332,55890,2268022.75,182760.515625
ADHD-midler,2012,Alle aldre,Kvinne,Buskerud,607,4.550770707131290,133384,3972924.75,274082.875
ADHD-midler,2012,Alle aldre,Kvinne,Finnmark,199,5.512923511649168,36097,1157874.875,81289.7734375
ADHD-midler,2012,Alle aldre,Kvinne,Hedmark,601,6.180329891818518,97244,3562492.75,285960.375
ADHD-midler,2012,Alle aldre,Kvinne,Hordaland,989,4.032718435517281,245244,5699404.5,397832.15625
ADHD-midler,2012,Alle aldre,Kvinne,Møre og Romsdal,579,4.553461889332788,127156,2905104,205522.984375
ADHD-midler,2012,Alle aldre,Kvinne,Nordland,858,7.225384848586924,118748,4672052.5,339735.21875
ADHD-midler,2012,Alle aldre,Kvinne,Nord-Trøndelag,277,4.160658495553953,66576,1632721.875,125637.0546875
ADHD-midler,2012,Alle aldre,Kvinne,Oppland,418,4.456860152684778,93788,2623608.75,196553.46875
ADHD-midler,2012,Alle aldre,Kvinne,Oslo,869,2.793349962712475,311096,4729980.5,356020.6875
ADHD-midler,2012,Alle aldre,Kvinne,Rogaland,1123,5.095628105361073,220385,6209239,462594.96875
ADHD-midler,2012,Alle aldre,Kvinne,Sogn og Fjordane,172,3.220672221702088,53405,965424.125,73433.25
ADHD-midler,2012,Alle aldre,Kvinne,Sør-Trøndelag,745,5.011098405865339,148670,3552451.5,277044.125
ADHD-midler,2012,Alle aldre,Kvinne,Telemark,506,5.900737009049352,85752,2774766.5,218872.15625
ADHD-midler,2012,Alle aldre,Kvinne,Troms,271,3.436818343225283,78852,1194437.375,91392.1171875
ADHD-midler,2012,Alle aldre,Kvinne,Vest-Agder,438,4.997717937015062,87640,2626101.25,218732.65625
ADHD-midler,2012,Alle aldre,Kvinne,Vestfold,908,7.585820864349148,119697,4742163,361644.0625
ADHD-midler,2012,Alle aldre,Kvinne,Østfold,886,6.304927948763565,140525,5136738.5,412545.5625
ADHD-midler,2012,Alle aldre,Mann,Akershus,1844,6.576952844960107,280373,11214902,788041
ADHD-midler,2012,Alle aldre,Mann,Aust-Agder,585,10.399630235369409,56252,3263583.25,237247.828125
ADHD-midler,2012,Alle aldre,Mann,Buskerud,1138,8.510701945944329,133714,7580615,525637.625
ADHD-midler,2012,Alle aldre,Mann,Finnmark,373,9.799542863147939,38063,2342419.5,172221.125
ADHD-midler,2012,Alle aldre,Mann,Hedmark,1143,11.906498052042751,95998,7890224,579202.25
ADHD-midler,2012,Alle aldre,Mann,Hordaland,1747,7.013416621837539,249094,11200943,718324.5
ADHD-midler,2012,Alle aldre,Mann,Møre og Romsdal,1081,8.261809955442783,130843,5645626,381665.59375
ADHD-midler,2012,Alle aldre,Mann,Nordland,1378,11.464035540174040,120202,8504056,593605
ADHD-midler,2012,Alle aldre,Mann,Nord-Trøndelag,576,8.555641376032321,67324,3320790.25,251337.015625
ADHD-midler,2012,Alle aldre,Mann,Oppland,770,8.243052284503062,93412,4551412,377589.125
ADHD-midler,2012,Alle aldre,Mann,Oslo,1306,4.247126847955460,307502,7703857.5,536032.5
ADHD-midler,2012,Alle aldre,Mann,Rogaland,2033,8.947118262155406,227224,11806007,840285.6875
ADHD-midler,2012,Alle aldre,Mann,Sogn og Fjordane,332,6.029347668167950,55064,2057349.5,140266.859375
ADHD-midler,2012,Alle aldre,Mann,Sør-Trøndelag,1343,8.853232781352178,151696,7717610,538546.625
ADHD-midler,2012,Alle aldre,Mann,Telemark,791,9.338071233782332,84707,4780385.5,345613.21875
ADHD-midler,2012,Alle aldre,Mann,Troms,522,6.475944718755428,80606,2778838,201267.9375
ADHD-midler,2012,Alle aldre,Mann,Vest-Agder,722,8.233174447510662,87694,4594043.5,351817.90625
ADHD-midler,2012,Alle aldre,Mann,Vestfold,1259,10.677454372752561,117912,7612458,541566.1875
ADHD-midler,2012,Alle aldre,Mann,Østfold,1359,9.729451098590339,139679,8188543,635050.125
ADHD-midler,2012,0 - 4,Kvinne,Akershus,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Aust-Agder,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Buskerud,,,6854,,
ADHD-midler,2012,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Hedmark,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Hordaland,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Nordland,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Oppland,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Oslo,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Rogaland,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Telemark,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Troms,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Vestfold,0,0,0,0,0
ADHD-midler,2012,0 - 4,Kvinne,Østfold,0,0,0,0,0
ADHD-midler,2012,0 - 4,Mann,Akershus,,,16659,,
ADHD-midler,2012,0 - 4,Mann,Aust-Agder,,,3188,,
ADHD-midler,2012,0 - 4,Mann,Buskerud,0,0,0,0,0
ADHD-midler,2012,0 - 4,Mann,Finnmark,0,0,0,0,0
ADHD-midler,2012,0 - 4,Mann,Hedmark,0,0,0,0,0
ADHD-midler,2012,0 - 4,Mann,Hordaland,,,14961,,
ADHD-midler,2012,0 - 4,Mann,Møre og Romsdal,0,0,0,0,0
