drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2004,Alle,F,Akershus,279,1.122,248574,1577670.875,106182.992
ADHD-midler,2004,Alle,F,Aust-Agder,112,2.152,52036,683861.562,39298.082
ADHD-midler,2004,Alle,F,Buskerud,214,1.739,123077,1695184.375,80037.016
ADHD-midler,2004,Alle,F,Finnmark,53,1.474,35965,269053.844,18277.326
ADHD-midler,2004,Alle,F,Hedmark,114,1.196,95297,737625.812,51324.500
ADHD-midler,2004,Alle,F,Hordaland,146,0.650,224572,812118.875,55968.215
ADHD-midler,2004,Alle,F,Møre og Romsdal,164,1.343,122070,640918.938,46519.367
ADHD-midler,2004,Alle,F,Nordland,189,1.596,118448,856914.062,51790.113
ADHD-midler,2004,Alle,F,Nord-Trøndelag,69,1.075,64198,434147.125,31272.100
ADHD-midler,2004,Alle,F,Oppland,55,0.594,92543,329328.844,21724.650
ADHD-midler,2004,Alle,F,Oslo,306,1.135,269506,1475618.875,100559.203
ADHD-midler,2004,Alle,F,Rogaland,181,0.926,195556,873482.125,54797.977
ADHD-midler,2004,Alle,F,Sogn og Fjordane,69,1.301,53021,332013.562,20583
ADHD-midler,2004,Alle,F,Sør-Trøndelag,117,0.857,136574,480391.938,37125.184
ADHD-midler,2004,Alle,F,Telemark,117,1.388,84324,882068.438,43158.500
ADHD-midler,2004,Alle,F,Troms,70,0.924,75790,404675.094,21072.500
ADHD-midler,2004,Alle,F,Vest-Agder,117,1.446,80934,784140.438,43360.250
ADHD-midler,2004,Alle,F,Vestfold,181,1.614,112134,1263734.875,75110.742
ADHD-midler,2004,Alle,F,Østfold,169,1.292,130812,924418.500,66915.789
ADHD-midler,2004,Alle,M,Akershus,972,4.003,242826,6191810,363972.062
ADHD-midler,2004,Alle,M,Aust-Agder,302,5.870,51444,1718731.500,101058.039
ADHD-midler,2004,Alle,M,Buskerud,709,5.915,119869,5996469.500,284055.188
ADHD-midler,2004,Alle,M,Finnmark,183,4.923,37172,1293865.500,67548.125
ADHD-midler,2004,Alle,M,Hedmark,447,4.802,93082,3249970.500,200390.484
ADHD-midler,2004,Alle,M,Hordaland,502,2.260,222108,3025605.750,184620.469
ADHD-midler,2004,Alle,M,Møre og Romsdal,598,4.879,122564,3035026.750,188853.375
ADHD-midler,2004,Alle,M,Nordland,574,4.842,118536,3196015.750,185467.844
ADHD-midler,2004,Alle,M,Nord-Trøndelag,219,3.421,64024,1401532,87313.281
ADHD-midler,2004,Alle,M,Oppland,309,3.400,90878,1996258.875,123225.047
ADHD-midler,2004,Alle,M,Oslo,772,3.011,256354,4740099.500,271761.062
ADHD-midler,2004,Alle,M,Rogaland,727,3.720,195434,4872482.500,281198.188
ADHD-midler,2004,Alle,M,Sogn og Fjordane,273,5.044,54124,2039796.750,98888.523
ADHD-midler,2004,Alle,M,Sør-Trøndelag,426,3.159,134838,2535652,148619.062
ADHD-midler,2004,Alle,M,Telemark,431,5.264,81884,3377376,179336.828
ADHD-midler,2004,Alle,M,Troms,211,2.744,76890,1219880,64067.168
ADHD-midler,2004,Alle,M,Vest-Agder,477,5.982,79743,2765181.250,170204.297
ADHD-midler,2004,Alle,M,Vestfold,513,4.750,108000,4025863.500,218473.828
ADHD-midler,2004,Alle,M,Østfold,512,4.038,126794,3637997.750,221566.469
ADHD-midler,2004,0,F,Akershus,,,14596,,
ADHD-midler,2004,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2004,0,F,Buskerud,0,0,0,0,0
ADHD-midler,2004,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2004,0,F,Hedmark,,,4440,,
ADHD-midler,2004,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2004,0,F,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2004,0,F,Nordland,,,5938,,
ADHD-midler,2004,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2004,0,F,Oppland,0,0,0,0,0
ADHD-midler,2004,0,F,Oslo,0,0,0,0,0
ADHD-midler,2004,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2004,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2004,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2004,0,F,Telemark,0,0,0,0,0
ADHD-midler,2004,0,F,Troms,,,4141,,
ADHD-midler,2004,0,F,Vest-Agder,0,0,0,0,0
ADHD-midler,2004,0,F,Vestfold,,,5426,,
ADHD-midler,2004,0,F,Østfold,0,0,0,0,0
ADHD-midler,2004,0,M,Akershus,,,15220,,
ADHD-midler,2004,0,M,Aust-Agder,0,0,0,0,0
ADHD-midler,2004,0,M,Buskerud,,,6708,,
ADHD-midler,2004,0,M,Finnmark,0,0,0,0,0
ADHD-midler,2004,0,M,Hedmark,,,4586,,
ADHD-midler,2004,0,M,Hordaland,0,0,0,0,0
ADHD-midler,2004,0,M,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2004,0,M,Nordland,,,6263,,
ADHD-midler,2004,0,M,Nord-Trøndelag,,,3587,,
ADHD-midler,2004,0,M,Oppland,0,0,0,0,0
ADHD-midler,2004,0,M,Oslo,,,16379,,
ADHD-midler,2004,0,M,Rogaland,0,0,0,0,0
ADHD-midler,2004,0,M,Sogn og Fjordane,,,3120,,
ADHD-midler,2004,0,M,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2004,0,M,Telemark,,,4232,,
ADHD-midler,2004,0,M,Troms,,,4328,,
ADHD-midler,2004,0,M,Vest-Agder,,,4691,,
ADHD-midler,2004,0,M,Vestfold,,,5885,,
ADHD-midler,2004,0,M,Østfold,0,0,0,0,0
ADHD-midler,2004,5,F,Akershus,32,1.829,17496,168515.344,9563.583
ADHD-midler,2004,5,F,Aust-Agder,20,5.846,3421,80284.297,4583.667
ADHD-midler,2004,5,F,Buskerud,23,3.019,7618,130301.797,7645.292
ADHD-midler,2004,5,F,Finnmark,,,2514,,
ADHD-midler,2004,5,F,Hedmark,12,2.183,5496,68290.109,3986.333
ADHD-midler,2004,5,F,Hordaland,19,1.250,15200,82492.008,5151.208
ADHD-midler,2004,5,F,Møre og Romsdal,21,2.608,8052,65883.164,3513.367
ADHD-midler,2004,5,F,Nordland,28,3.576,7830,114103.852,6500.583
ADHD-midler,2004,5,F,Nord-Trøndelag,11,2.561,4296,70475.602,3818.767
ADHD-midler,2004,5,F,Oppland,7,1.266,5528,32466.498,2167.545
ADHD-midler,2004,5,F,Oslo,26,1.887,13776,82757.594,5411.083
ADHD-midler,2004,5,F,Rogaland,26,1.799,14450,94374.602,6038.667
ADHD-midler,2004,5,F,Sogn og Fjordane,10,2.762,3620,50949.602,2643.167
ADHD-midler,2004,5,F,Sør-Trøndelag,10,1.129,8859,30759,2005.317
ADHD-midler,2004,5,F,Telemark,12,2.344,5119,79223.203,3587.375
ADHD-midler,2004,5,F,Troms,9,1.795,5014,68883.898,2287.792
ADHD-midler,2004,5,F,Vest-Agder,8,1.402,5705,51475.500,3066
ADHD-midler,2004,5,F,Vestfold,20,2.839,7044,107665.297,5749.500
ADHD-midler,2004,5,F,Østfold,23,2.828,8133,138852.844,8429.375
ADHD-midler,2004,5,M,Akershus,146,7.889,18506,802456.438,44805.168
ADHD-midler,2004,5,M,Aust-Agder,43,11.778,3651,164183.906,10889.417
ADHD-midler,2004,5,M,Buskerud,105,13.050,8046,694208.062,34136.547
ADHD-midler,2004,5,M,Finnmark,26,9.651,2694,162192.406,7758.333
ADHD-midler,2004,5,M,Hedmark,84,13.972,6012,370945.969,25656.900
ADHD-midler,2004,5,M,Hordaland,93,5.885,15804,456333.031,26818.674
ADHD-midler,2004,5,M,Møre og Romsdal,103,12.126,8494,421604.469,24011.625
ADHD-midler,2004,5,M,Nordland,109,13.289,8202,597276.250,32910.125
ADHD-midler,2004,5,M,Nord-Trøndelag,41,8.827,4645,251306.297,13970.833
ADHD-midler,2004,5,M,Oppland,55,9.389,5858,325988.281,18373.809
ADHD-midler,2004,5,M,Oslo,125,8.510,14688,631662.438,35714.398
ADHD-midler,2004,5,M,Rogaland,139,9.189,15126,710786.312,42326.957
