Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2005,Alle aldre,Kvinne,Akershus,440,1.747654568130725,251766,2989162,162720.703125
ADHD-midler,2005,Alle aldre,Kvinne,Aust-Agder,170,3.255582366233866,52218,958229.5625,54615.3984375
ADHD-midler,2005,Alle aldre,Kvinne,Buskerud,305,2.463969495249790,123784,2496753.5,115098.5
ADHD-midler,2005,Alle aldre,Kvinne,Finnmark,73,2.033086392246421,35906,555749.5625,27830.443359375
ADHD-midler,2005,Alle aldre,Kvinne,Hedmark,181,1.898707620006714,95328,1192034.125,73549.6171875
ADHD-midler,2005,Alle aldre,Kvinne,Hordaland,235,1.038417010596272,226306,1601016.625,86133.5234375
ADHD-midler,2005,Alle aldre,Kvinne,Møre og Romsdal,251,2.054278792640608,122184,1211580.75,67800.5078125
ADHD-midler,2005,Alle aldre,Kvinne,Nordland,291,2.461470792238331,118222,1622139.375,81947.65625
ADHD-midler,2005,Alle aldre,Kvinne,Nord-Trøndelag,125,1.942441571357534,64352,841216.25,53404.7265625
ADHD-midler,2005,Alle aldre,Kvinne,Oppland,119,1.287586154661819,92421,565807.875,36251.47265625
ADHD-midler,2005,Alle aldre,Kvinne,Oslo,436,1.594837992259915,273382,2398810.75,155288.78125
ADHD-midler,2005,Alle aldre,Kvinne,Rogaland,324,1.639344262295082,197640,1869711.25,106647.046875
ADHD-midler,2005,Alle aldre,Kvinne,Sogn og Fjordane,113,2.136186623312791,52898,715870.25,35845.8515625
ADHD-midler,2005,Alle aldre,Kvinne,Sør-Trøndelag,182,1.321253303133258,137748,910065.3125,52061.90234375
ADHD-midler,2005,Alle aldre,Kvinne,Telemark,181,2.145668357911708,84356,1343002.125,67817.5
ADHD-midler,2005,Alle aldre,Kvinne,Troms,104,1.367863108468914,76031,552594.6875,29131.857421875
ADHD-midler,2005,Alle aldre,Kvinne,Vest-Agder,187,2.295717933608328,81456,1173287.625,66132.28125
ADHD-midler,2005,Alle aldre,Kvinne,Vestfold,303,2.688124345712309,112718,2484289.75,127052.8515625
ADHD-midler,2005,Alle aldre,Kvinne,Østfold,299,2.269949362668064,131721,1774138.25,122403.9375
ADHD-midler,2005,Alle aldre,Mann,Akershus,1287,5.232898546010474,245944,9603835,497341.625
ADHD-midler,2005,Alle aldre,Mann,Aust-Agder,453,8.773968622893666,51630,2734985,139680.390625
ADHD-midler,2005,Alle aldre,Mann,Buskerud,912,7.564070664344364,120570,8267530.5,366912.84375
ADHD-midler,2005,Alle aldre,Mann,Finnmark,238,6.414402759810263,37104,1960006.875,93448.296875
ADHD-midler,2005,Alle aldre,Mann,Hedmark,560,6.014520771577093,93108,4687598,263237.625
ADHD-midler,2005,Alle aldre,Mann,Hordaland,727,3.242842996440456,224186,5377948,261062.796875
ADHD-midler,2005,Alle aldre,Mann,Møre og Romsdal,755,6.153520139534126,122694,5057108,241450.78125
ADHD-midler,2005,Alle aldre,Mann,Nordland,790,6.677373003127377,118310,5343742,271224.34375
ADHD-midler,2005,Alle aldre,Mann,Nord-Trøndelag,360,5.606952621250350,64206,2423035,142815.78125
ADHD-midler,2005,Alle aldre,Mann,Oppland,391,4.307590613638867,90770,2668758,168467.1875
ADHD-midler,2005,Alle aldre,Mann,Oslo,989,3.793166930027768,260732,6709435,356056.125
ADHD-midler,2005,Alle aldre,Mann,Rogaland,1053,5.324097482050763,197780,7847689,401642.59375
ADHD-midler,2005,Alle aldre,Mann,Sogn og Fjordane,338,6.266570257893468,53937,2822112.25,125829.15625
ADHD-midler,2005,Alle aldre,Mann,Sør-Trøndelag,569,4.175809659403644,136261,4013757.5,207803.828125
ADHD-midler,2005,Alle aldre,Mann,Telemark,582,7.106921310994969,81892,4783030.5,241192.484375
ADHD-midler,2005,Alle aldre,Mann,Troms,274,3.552167600082970,77136,1769235.75,90366.859375
