Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2015,Alle aldre,Kvinne,Akershus,1389,4.712867927729239,294725,8970741,575943.5
ADHD-midler,2015,Alle aldre,Kvinne,Aust-Agder,516,8.999895350054069,57334,2890209.75,229725.28125
ADHD-midler,2015,Alle aldre,Kvinne,Buskerud,844,6.139253396956560,137476,4957047,359344.375
ADHD-midler,2015,Alle aldre,Kvinne,Finnmark,275,7.480550568521843,36762,1858262.625,134004
ADHD-midler,2015,Alle aldre,Kvinne,Hedmark,731,7.467794497737187,97887,4356887,324237.59375
ADHD-midler,2015,Alle aldre,Kvinne,Hordaland,1393,5.488184447123529,253818,8413073,550370.4375
ADHD-midler,2015,Alle aldre,Kvinne,Møre og Romsdal,769,5.925046999722625,129788,4127719.75,299304.46875
ADHD-midler,2015,Alle aldre,Kvinne,Nordland,988,8.270689279914279,119458,6172497.5,446314.4375
ADHD-midler,2015,Alle aldre,Kvinne,Nord-Trøndelag,399,5.909360189573460,67520,2497936.75,175516.125
ADHD-midler,2015,Alle aldre,Kvinne,Oppland,545,5.781021278401256,94274,3832129,251849.734375
ADHD-midler,2015,Alle aldre,Kvinne,Oslo,1111,3.393547677664897,327386,7062674.5,445968.65625
ADHD-midler,2015,Alle aldre,Kvinne,Rogaland,1472,6.398164005111577,230066,8728711,608184.375
ADHD-midler,2015,Alle aldre,Kvinne,Sogn og Fjordane,181,3.373844318520728,53648,1523337.25,66546.9765625
ADHD-midler,2015,Alle aldre,Kvinne,Sør-Trøndelag,1096,7.129150811461281,153735,6025671,427636.25
ADHD-midler,2015,Alle aldre,Kvinne,Telemark,533,6.182720861172977,86208,2970846.75,232949.015625
ADHD-midler,2015,Alle aldre,Kvinne,Troms,308,3.821434775056453,80598,1461422.375,106169.796875
ADHD-midler,2015,Alle aldre,Kvinne,Vest-Agder,477,5.267924194902151,90548,3094566.5,229019.0625
ADHD-midler,2015,Alle aldre,Kvinne,Vestfold,1150,9.389748028152914,122474,7120739.5,495121.84375
ADHD-midler,2015,Alle aldre,Kvinne,Østfold,1084,7.510253852122825,144336,8140140.5,539751.6875
ADHD-midler,2015,Alle aldre,Mann,Akershus,2113,7.163416064630082,294971,14139505,911094.125
ADHD-midler,2015,Alle aldre,Mann,Aust-Agder,570,9.838442419221210,57936,3511405.5,243575.15625
ADHD-midler,2015,Alle aldre,Mann,Buskerud,1315,9.478365540555151,138737,8247562.5,574410.625
ADHD-midler,2015,Alle aldre,Mann,Finnmark,446,11.459403905447071,38920,3065216.25,217541.6875
ADHD-midler,2015,Alle aldre,Mann,Hedmark,1194,12.257720105124836,97408,7897955,553799.8125
ADHD-midler,2015,Alle aldre,Mann,Hordaland,2220,8.534850640113798,260110,16061946,906977.4375
ADHD-midler,2015,Alle aldre,Mann,Møre og Romsdal,1326,9.842782701643433,134718,7350375.5,494847.1875
ADHD-midler,2015,Alle aldre,Mann,Nordland,1503,12.286639199529135,122328,9198619,665241.0625
ADHD-midler,2015,Alle aldre,Mann,Nord-Trøndelag,650,9.483513276918588,68540,3938138.5,270179.21875
ADHD-midler,2015,Alle aldre,Mann,Oppland,870,9.194284748055462,94624,5268536,417218.5625
ADHD-midler,2015,Alle aldre,Mann,Oslo,1582,4.857871932739048,325657,10162881,653493.6875
ADHD-midler,2015,Alle aldre,Mann,Rogaland,2420,10.159018017564187,238212,14940598,1040179.4375
ADHD-midler,2015,Alle aldre,Mann,Sogn og Fjordane,365,6.556140319364863,55673,2153535.25,156008.46875
ADHD-midler,2015,Alle aldre,Mann,Sør-Trøndelag,1692,10.707166587565259,158025,10544973,710877.9375
ADHD-midler,2015,Alle aldre,Mann,Telemark,758,8.814363458765524,85996,4907219.5,344338.375
ADHD-midler,2015,Alle aldre,Mann,Troms,576,6.915596109977188,83290,3530198.75,220864.484375
ADHD-midler,2015,Alle aldre,Mann,Vest-Agder,801,8.779814100315679,91232,5811120.5,429054.625
ADHD-midler,2015,Alle aldre,Mann,Vestfold,1490,12.279949891211182,121336,9206596,640239.3125
ADHD-midler,2015,Alle aldre,Mann,Østfold,1646,11.412723175593690,144225,12399718,782697.4375
ADHD-midler,2015,0 - 4,Kvinne,Akershus,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Aust-Agder,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Buskerud,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Hedmark,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Hordaland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Møre og Romsdal,,,6513,,
ADHD-midler,2015,0 - 4,Kvinne,Nordland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Oppland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Oslo,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Rogaland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Telemark,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Troms,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Vestfold,0,0,0,0,0
ADHD-midler,2015,0 - 4,Kvinne,Østfold,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Akershus,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Aust-Agder,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Buskerud,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Finnmark,,,1747,,
ADHD-midler,2015,0 - 4,Mann,Hedmark,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Hordaland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Møre og Romsdal,,,6784,,
ADHD-midler,2015,0 - 4,Mann,Nordland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Oppland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Oslo,,,20546,,
ADHD-midler,2015,0 - 4,Mann,Rogaland,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Telemark,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Troms,,,4076,,
ADHD-midler,2015,0 - 4,Mann,Vest-Agder,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Vestfold,0,0,0,0,0
ADHD-midler,2015,0 - 4,Mann,Østfold,0,0,0,0,0
ADHD-midler,2015,5 - 9,Kvinne,Akershus,33,1.647364217252396,20032,109394,6433.50830078125
ADHD-midler,2015,5 - 9,Kvinne,Aust-Agder,12,3.266194882961350,3674,21237.115234375,2062.66674804688
ADHD-midler,2015,5 - 9,Kvinne,Buskerud,28,3.425495473452410,8174,160374.953125,7385.4501953125
ADHD-midler,2015,5 - 9,Kvinne,Finnmark,6,2.812939521800281,2133,26350.400390625,1515.05004882813
ADHD-midler,2015,5 - 9,Kvinne,Hedmark,36,7.067137809187279,5094,176493.453125,10571.6708984375
ADHD-midler,2015,5 - 9,Kvinne,Hordaland,59,3.717706364209200,15870,257288.453125,13097.9423828125
ADHD-midler,2015,5 - 9,Kvinne,Møre og Romsdal,50,6.333924499619965,7894,226799.703125,12225.8837890625
ADHD-midler,2015,5 - 9,Kvinne,Nordland,35,5.262366561419335,6651,133631.703125,8465.724609375
ADHD-midler,2015,5 - 9,Kvinne,Nord-Trøndelag,20,4.853190973064790,4121,74511.390625,4615.85986328125
ADHD-midler,2015,5 - 9,Kvinne,Oppland,15,3.005409737527550,4991,53513,4344.66650390625
ADHD-midler,2015,5 - 9,Kvinne,Oslo,27,1.470107807905913,18366,89790,5942.68310546875
ADHD-midler,2015,5 - 9,Kvinne,Rogaland,96,6.015037593984962,15960,448825.8125,28038.5078125
ADHD-midler,2015,5 - 9,Kvinne,Sogn og Fjordane,9,2.784653465346535,3232,41992.69921875,2299.10009765625
ADHD-midler,2015,5 - 9,Kvinne,Sør-Trøndelag,30,3.295978905735003,9102,104783.0859375,7197.9599609375
ADHD-midler,2015,5 - 9,Kvinne,Telemark,18,3.874300473525613,4646,75760,4381.4541015625
ADHD-midler,2015,5 - 9,Kvinne,Troms,13,2.715688322540213,4787,40675.71875,2917
ADHD-midler,2015,5 - 9,Kvinne,Vest-Agder,14,2.341920374707260,5978,47263.3984375,3254.875
ADHD-midler,2015,5 - 9,Kvinne,Vestfold,37,5.329876116392970,6942,166062.203125,7947.125
ADHD-midler,2015,5 - 9,Kvinne,Østfold,33,3.956834532374101,8340,159843,9860.515625
ADHD-midler,2015,5 - 9,Mann,Akershus,160,7.702305877822173,20773,704768,45726.91796875
ADHD-midler,2015,5 - 9,Mann,Aust-Agder,26,6.867406233491812,3786,133415.203125,5670.095703125
ADHD-midler,2015,5 - 9,Mann,Buskerud,82,9.320300068197318,8798,487958.53125,21333.9296875
ADHD-midler,2015,5 - 9,Mann,Finnmark,19,8.597285067873303,2210,70080.59375,4632.77880859375
ADHD-midler,2015,5 - 9,Mann,Hedmark,89,16.094032549728752,5530,446817.40625,29611.974609375
ADHD-midler,2015,5 - 9,Mann,Hordaland,235,14.091263416681657,16677,1263276.25,65350.75
