year,age,gender,geography,befolkning
2004,Alle,F,Hele landet,2315432
2004,Alle,F,Helseregion Midt-Norge,322842
2004,Alle,F,Helseregion Nord-Norge,230202
2004,Alle,F,Helseregion Sør-Øst,1289238
2004,Alle,F,Helseregion Vest,473149
2004,Alle,F,Akershus,248574
2004,Alle,F,Aust-Agder,52036
2004,Alle,F,Buskerud,123077
2004,Alle,F,Finnmark,35965
2004,Alle,F,Hedmark,95297
2004,Alle,F,Hordaland,224572
2004,Alle,F,Møre og Romsdal,122070
2004,Alle,F,Nordland,118448
2004,Alle,F,Nord-Trøndelag,64198
2004,Alle,F,Oppland,92543
2004,Alle,F,Oslo,269506
2004,Alle,F,Rogaland,195556
2004,Alle,F,Sogn og Fjordane,53021
2004,Alle,F,Sør-Trøndelag,136574
2004,Alle,F,Telemark,84324
2004,Alle,F,Troms,75790
2004,Alle,F,Vest-Agder,80934
2004,Alle,F,Vestfold,112134
2004,Alle,F,Østfold,130812
2004,Alle,M,Hele landet,2276565
2004,Alle,M,Helseregion Midt-Norge,321426
2004,Alle,M,Helseregion Nord-Norge,232598
2004,Alle,M,Helseregion Sør-Øst,1250874
2004,Alle,M,Helseregion Vest,471668
2004,Alle,M,Akershus,242826
2004,Alle,M,Aust-Agder,51444
2004,Alle,M,Buskerud,119869
2004,Alle,M,Finnmark,37172
2004,Alle,M,Hedmark,93082
2004,Alle,M,Hordaland,222108
2004,Alle,M,Møre og Romsdal,122564
2004,Alle,M,Nordland,118536
2004,Alle,M,Nord-Trøndelag,64024
2004,Alle,M,Oppland,90878
2004,Alle,M,Oslo,256354
2004,Alle,M,Rogaland,195434
2004,Alle,M,Sogn og Fjordane,54124
2004,Alle,M,Sør-Trøndelag,134838
2004,Alle,M,Telemark,81884
2004,Alle,M,Troms,76890
2004,Alle,M,Vest-Agder,79743
2004,Alle,M,Vestfold,108000
2004,Alle,M,Østfold,126794
2004,0,F,Hele landet,127042
2004,0,F,Helseregion Midt-Norge,17566
2004,0,F,Helseregion Nord-Norge,12176
2004,0,F,Helseregion Sør-Øst,68910
2004,0,F,Helseregion Vest,28390
2004,0,F,Akershus,14596
