drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2004,,F,965077.500,1.176,13043932.000,264.930,53602796.000,79.536,52875208.000,83.952,191618928.000,149.304,2222486.750,3.599,37429932.000,73.037,43384512.000,61.117,5849.333,0.090,79091680.000,122.282,65036948.000,259.802,59454156.000,144.671
Hele landet,2004,,M,3440619.250,4.022,8120974.000,184.772,27532328.000,42.017,44984636.000,73.261,189960368.000,132.831,1352812.625,2.093,48691.961,0.069,56500788.000,72.314,1950219.625,24.808,9182.247,0.038,38113868.000,197.791,33971168.000,77.193
Hele landet,2004,0.000,F,329.333,0.047,237865.047,247.044,0.000,0.000,936482.750,173.226,5440.392,0.638,0.000,0.000,5400.000,0.512,0.000,0.000,0.000,0.000,,,6384.920,5.085,24942.916,4.825
Hele landet,2004,0.000,M,3881.000,0.173,269543.469,262.359,,,1541421.625,217.245,6567.200,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,420.000,0.038,5213.943,7.100,39104.949,5.767
Hele landet,2004,5.000,F,86647.289,2.152,241581.938,168.920,2203.000,0.141,960142.812,69.430,17595.375,0.570,0.000,0.000,1107.500,0.101,438.786,0.034,0.000,0.000,0.000,0.000,25352.537,8.292,108420.898,4.156
Hele landet,2004,5.000,M,441237.750,9.254,211165.359,149.898,9238.167,0.419,1627752.000,93.746,13936.384,0.597,0.000,0.000,0.000,0.000,632.333,0.044,0.000,0.000,,,21483.777,9.076,243613.891,6.896
Hele landet,2004,10.000,F,292492.156,5.516,204285.391,105.073,54039.195,1.414,929974.938,47.862,25054.209,1.072,0.000,0.000,63774.988,0.717,3519.143,0.112,0.000,0.000,121759.836,4.773,110244.844,30.440,133395.203,4.839
Hele landet,2004,10.000,M,1457827.375,23.126,171323.922,89.126,78915.836,1.929,1570173.125,67.189,33111.559,1.126,0.000,0.000,0.000,0.000,4111.071,0.174,0.000,0.000,0.000,0.000,77118.875,23.077,357601.531,7.873
