drug,year,age,gender,geography,prevalens pr 1000,ddd
ADHD-midler,2004,Alle,F,Hele landet,1.176,965077.500
ADHD-midler,2004,Alle,F,Helseregion Midt-Norge,1.084,114916.648
ADHD-midler,2004,Alle,F,Helseregion Nord-Norge,1.355,91139.945
ADHD-midler,2004,Alle,F,Helseregion Sør-Øst,1.291,627671.750
ADHD-midler,2004,Alle,F,Helseregion Vest,0.837,131349.188
ADHD-midler,2004,Alle,M,Hele landet,4.022,3440619.250
ADHD-midler,2004,Alle,M,Helseregion Midt-Norge,3.867,424785.719
ADHD-midler,2004,Alle,M,Helseregion Nord-Norge,4.162,317083.125
ADHD-midler,2004,Alle,M,Helseregion Sør-Øst,4.352,2134043.250
ADHD-midler,2004,Alle,M,Helseregion Vest,3.184,564707.188
ADHD-midler,2004,0,F,Hele landet,0.047,329.333
ADHD-midler,2004,0,F,Helseregion Midt-Norge,0,0
ADHD-midler,2004,0,F,Helseregion Nord-Norge,,
ADHD-midler,2004,0,F,Helseregion Sør-Øst,,
ADHD-midler,2004,0,F,Helseregion Vest,0,0
ADHD-midler,2004,0,M,Hele landet,0.173,3881
ADHD-midler,2004,0,M,Helseregion Midt-Norge,,
ADHD-midler,2004,0,M,Helseregion Nord-Norge,,
ADHD-midler,2004,0,M,Helseregion Sør-Øst,0.236,2686.500
ADHD-midler,2004,0,M,Helseregion Vest,,
ADHD-midler,2004,5,F,Hele landet,2.152,86647.289
ADHD-midler,2004,5,F,Helseregion Midt-Norge,1.980,9337.450
ADHD-midler,2004,5,F,Helseregion Nord-Norge,2.670,9287.042
ADHD-midler,2004,5,F,Helseregion Sør-Øst,2.307,54189.754
ADHD-midler,2004,5,F,Helseregion Vest,1.653,13833.042
ADHD-midler,2004,5,M,Hele landet,9.254,441237.750
ADHD-midler,2004,5,M,Helseregion Midt-Norge,8.497,49134.723
ADHD-midler,2004,5,M,Helseregion Nord-Norge,10.528,50658.707
ADHD-midler,2004,5,M,Helseregion Sør-Øst,9.831,260655.547
ADHD-midler,2004,5,M,Helseregion Vest,7.754,80788.758
ADHD-midler,2004,10,F,Hele landet,5.516,292492.156
ADHD-midler,2004,10,F,Helseregion Midt-Norge,4.397,29502.617
ADHD-midler,2004,10,F,Helseregion Nord-Norge,7.922,34688.008
ADHD-midler,2004,10,F,Helseregion Sør-Øst,6.058,184021.125
ADHD-midler,2004,10,F,Helseregion Vest,3.816,44280.418
ADHD-midler,2004,10,M,Hele landet,23.126,1457827.375
ADHD-midler,2004,10,M,Helseregion Midt-Norge,20.281,165346.594
ADHD-midler,2004,10,M,Helseregion Nord-Norge,26.223,151397.031
ADHD-midler,2004,10,M,Helseregion Sør-Øst,25.327,881389.312
ADHD-midler,2004,10,M,Helseregion Vest,18.253,259694.406
ADHD-midler,2004,15,F,Hele landet,4.761,219710.812
ADHD-midler,2004,15,F,Helseregion Midt-Norge,4.129,23733.584
ADHD-midler,2004,15,F,Helseregion Nord-Norge,5.480,23968.143
ADHD-midler,2004,15,F,Helseregion Sør-Øst,5.571,145813.359
ADHD-midler,2004,15,F,Helseregion Vest,2.903,26195.727
ADHD-midler,2004,15,M,Hele landet,15.093,853459.812
ADHD-midler,2004,15,M,Helseregion Midt-Norge,14.346,104665.125
ADHD-midler,2004,15,M,Helseregion Nord-Norge,14.308,70257.586
ADHD-midler,2004,15,M,Helseregion Sør-Øst,17.371,548334.562
ADHD-midler,2004,15,M,Helseregion Vest,10.543,130202.562
ADHD-midler,2004,20,F,Hele landet,1.334,61823.098
ADHD-midler,2004,20,F,Helseregion Midt-Norge,1.280,8222.666
ADHD-midler,2004,20,F,Helseregion Nord-Norge,1.503,5007.083
ADHD-midler,2004,20,F,Helseregion Sør-Øst,1.465,38077.348
ADHD-midler,2004,20,F,Helseregion Vest,0.977,10516
ADHD-midler,2004,20,M,Hele landet,3.762,173470.828
ADHD-midler,2004,20,M,Helseregion Midt-Norge,4.324,25719.500
ADHD-midler,2004,20,M,Helseregion Nord-Norge,2.147,8820.333
ADHD-midler,2004,20,M,Helseregion Sør-Øst,4.448,114961.875
ADHD-midler,2004,20,M,Helseregion Vest,2.524,23969.125
ADHD-midler,2004,25,F,Hele landet,0.857,45156.039
ADHD-midler,2004,25,F,Helseregion Midt-Norge,1.236,10360.333
ADHD-midler,2004,25,F,Helseregion Nord-Norge,0.778,3650.333
ADHD-midler,2004,25,F,Helseregion Sør-Øst,0.906,24995.375
ADHD-midler,2004,25,F,Helseregion Vest,0.527,6150
ADHD-midler,2004,25,M,Hele landet,2.234,121533.641
ADHD-midler,2004,25,M,Helseregion Midt-Norge,2.263,14353.500
ADHD-midler,2004,25,M,Helseregion Nord-Norge,1.671,6937.917
ADHD-midler,2004,25,M,Helseregion Sør-Øst,2.534,76537.555
ADHD-midler,2004,25,M,Helseregion Vest,1.690,23704.666
ADHD-midler,2004,30,F,Hele landet,0.826,53687.758
ADHD-midler,2004,30,F,Helseregion Midt-Norge,1.211,9632
ADHD-midler,2004,30,F,Helseregion Nord-Norge,0.689,3985.333
ADHD-midler,2004,30,F,Helseregion Sør-Øst,0.834,34691.293
ADHD-midler,2004,30,F,Helseregion Vest,0.622,5379.133
ADHD-midler,2004,30,M,Hele landet,1.492,99593.422
ADHD-midler,2004,30,M,Helseregion Midt-Norge,2.428,20776.365
ADHD-midler,2004,30,M,Helseregion Nord-Norge,1.534,10113.708
ADHD-midler,2004,30,M,Helseregion Sør-Øst,1.488,56565.344
ADHD-midler,2004,30,M,Helseregion Vest,0.880,12138
ADHD-midler,2004,35,F,Hele landet,0.788,68297
ADHD-midler,2004,35,F,Helseregion Midt-Norge,0.778,10028.666
ADHD-midler,2004,35,F,Helseregion Nord-Norge,0.591,5374
ADHD-midler,2004,35,F,Helseregion Sør-Øst,0.941,41279.664
ADHD-midler,2004,35,F,Helseregion Vest,0.458,11614.666
ADHD-midler,2004,35,M,Hele landet,1.033,92769.609
ADHD-midler,2004,35,M,Helseregion Midt-Norge,0.949,16915.648
ADHD-midler,2004,35,M,Helseregion Nord-Norge,0.830,5466.533
ADHD-midler,2004,35,M,Helseregion Sør-Øst,1.224,56836.758
ADHD-midler,2004,35,M,Helseregion Vest,0.656,13550.666
ADHD-midler,2004,40,F,Hele landet,0.590,40756.914
ADHD-midler,2004,40,F,Helseregion Midt-Norge,0.468,3470
ADHD-midler,2004,40,F,Helseregion Nord-Norge,0.314,2488.667
ADHD-midler,2004,40,F,Helseregion Sør-Øst,0.721,28953.582
ADHD-midler,2004,40,F,Helseregion Vest,0.435,5844.667
ADHD-midler,2004,40,M,Hele landet,0.996,78621.133
ADHD-midler,2004,40,M,Helseregion Midt-Norge,1.239,12438.967
ADHD-midler,2004,40,M,Helseregion Nord-Norge,0.483,5498
ADHD-midler,2004,40,M,Helseregion Sør-Øst,1.210,53346.164
ADHD-midler,2004,40,M,Helseregion Vest,0.496,7338
ADHD-midler,2004,45,F,Hele landet,0.383,24827.291
ADHD-midler,2004,45,F,Helseregion Midt-Norge,0.276,2820.667
ADHD-midler,2004,45,F,Helseregion Nord-Norge,,
ADHD-midler,2004,45,F,Helseregion Sør-Øst,0.523,19363.750
ADHD-midler,2004,45,F,Helseregion Vest,0.193,1782.875
ADHD-midler,2004,45,M,Hele landet,0.670,50143.867
ADHD-midler,2004,45,M,Helseregion Midt-Norge,0.702,8312.133
ADHD-midler,2004,45,M,Helseregion Nord-Norge,,
ADHD-midler,2004,45,M,Helseregion Sør-Øst,0.880,35178.070
ADHD-midler,2004,45,M,Helseregion Vest,0.277,3307
ADHD-midler,2004,50,F,Hele landet,0.312,24156.500
ADHD-midler,2004,50,F,Helseregion Midt-Norge,0.285,2064
ADHD-midler,2004,50,F,Helseregion Nord-Norge,,
ADHD-midler,2004,50,F,Helseregion Sør-Øst,0.376,20019.166
ADHD-midler,2004,50,F,Helseregion Vest,0.208,1168.667
ADHD-midler,2004,50,M,Hele landet,0.368,24875.666
ADHD-midler,2004,50,M,Helseregion Midt-Norge,,
ADHD-midler,2004,50,M,Helseregion Nord-Norge,0.490,1956.667
ADHD-midler,2004,50,M,Helseregion Sør-Øst,0.409,16784.332
ADHD-midler,2004,50,M,Helseregion Vest,0.356,5001.333
ADHD-midler,2004,55,F,Hele landet,0.182,10880.333
ADHD-midler,2004,55,F,Helseregion Midt-Norge,,
ADHD-midler,2004,55,F,Helseregion Nord-Norge,,
ADHD-midler,2004,55,F,Helseregion Sør-Øst,0.212,7860.333
ADHD-midler,2004,55,F,Helseregion Vest,,
ADHD-midler,2004,55,M,Hele landet,0.229,16994.332
ADHD-midler,2004,55,M,Helseregion Midt-Norge,0.276,1618
ADHD-midler,2004,55,M,Helseregion Nord-Norge,,
ADHD-midler,2004,55,M,Helseregion Sør-Øst,0.291,13146.333
ADHD-midler,2004,55,M,Helseregion Vest,,
ADHD-midler,2004,60,F,Hele landet,0.178,9742.250
ADHD-midler,2004,60,F,Helseregion Midt-Norge,0,0
ADHD-midler,2004,60,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,60,F,Helseregion Sør-Øst,0.267,9198.916
ADHD-midler,2004,60,F,Helseregion Vest,,
ADHD-midler,2004,60,M,Hele landet,0.169,6814.667
ADHD-midler,2004,60,M,Helseregion Midt-Norge,,
ADHD-midler,2004,60,M,Helseregion Nord-Norge,0.408,1310
ADHD-midler,2004,60,M,Helseregion Sør-Øst,0.176,3771.333
ADHD-midler,2004,60,M,Helseregion Vest,0,0
ADHD-midler,2004,65,F,Hele landet,0.347,15406
ADHD-midler,2004,65,F,Helseregion Midt-Norge,0.484,2198.667
ADHD-midler,2004,65,F,Helseregion Nord-Norge,,
ADHD-midler,2004,65,F,Helseregion Sør-Øst,0.394,10720
ADHD-midler,2004,65,F,Helseregion Vest,,
ADHD-midler,2004,65,M,Hele landet,0.169,5259.625
ADHD-midler,2004,65,M,Helseregion Midt-Norge,,
ADHD-midler,2004,65,M,Helseregion Nord-Norge,0,0
ADHD-midler,2004,65,M,Helseregion Sør-Øst,0.262,4562.958
ADHD-midler,2004,65,M,Helseregion Vest,,
ADHD-midler,2004,70,F,Hele landet,0.180,6869.333
ADHD-midler,2004,70,F,Helseregion Midt-Norge,,
ADHD-midler,2004,70,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,70,F,Helseregion Sør-Øst,0.214,4360
ADHD-midler,2004,70,F,Helseregion Vest,,
ADHD-midler,2004,70,M,Hele landet,0.140,3540
ADHD-midler,2004,70,M,Helseregion Midt-Norge,,
ADHD-midler,2004,70,M,Helseregion Nord-Norge,0,0
ADHD-midler,2004,70,M,Helseregion Sør-Øst,0.152,2210
ADHD-midler,2004,70,M,Helseregion Vest,,
ADHD-midler,2004,75,F,Hele landet,0.086,1960.667
ADHD-midler,2004,75,F,Helseregion Midt-Norge,0,0
ADHD-midler,2004,75,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,75,F,Helseregion Sør-Øst,0.131,1767.333
ADHD-midler,2004,75,F,Helseregion Vest,,
ADHD-midler,2004,75,M,Hele landet,0.178,5850
ADHD-midler,2004,75,M,Helseregion Midt-Norge,,
ADHD-midler,2004,75,M,Helseregion Nord-Norge,,
ADHD-midler,2004,75,M,Helseregion Sør-Øst,0.231,4750
ADHD-midler,2004,75,M,Helseregion Vest,,
ADHD-midler,2004,80,F,Hele landet,0.079,1533
ADHD-midler,2004,80,F,Helseregion Midt-Norge,0,0
